Name,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2020,Change 2010-20
United States,248790925,281424600,308745538,331449281,1.073535453
Alabama,4040389,4447207,4779736,5024279,1.051162449
Alaska,550043,626933,710231,733391,1.032609109
Arizona,3665339,5130247,6392017,7151502,1.118817738
Arkansas,2350624,2673293,2915918,3011524,1.032787616
California,29811427,33871653,37253956,39538223,1.061316092
Colorado,3294473,4302086,5029196,5773714,1.14803917
Connecticut,3287116,3405650,3574097,3605944,1.008910502
Delaware,666168,783559,897934,989948,1.10247301
District of Columbia,606900,572086,601723,689545,1.145950878
Florida,12938071,15982571,18801310,21538187,1.14556842
Georgia,6478149,8186653,9687653,10711908,1.105727879
Hawaii,1108229,1211497,1360301,1455271,1.069815431
Idaho,1006734,1293957,1567582,1839106,1.173211991
Illinois,11430602,12419927,12830632,12812508,0.998587443
Indiana,5544156,6080827,6483802,6785528,1.046535351
Iowa,2776831,2926538,3046355,3190369,1.047274201
Kansas,2477588,2688925,2853118,2937880,1.02970855
Kentucky,3686892,4042193,4339367,4505836,1.038362508
Louisiana,4221826,4469035,4533372,4657757,1.027437634
Maine,1227928,1274779,1328361,1362359,1.025593946
Maryland,4780753,5296647,5773552,6177224,1.069917444
Massachusetts,6016425,6349364,6547629,7029917,1.073658419
Michigan,9295287,9938823,9883640,10077331,1.019597132
Minnesota,4375665,4919631,5303925,5706494,1.075900206
Mississippi,2575475,2844754,2967297,2961279,0.997971892
Missouri,5116901,5596564,5988927,6154913,1.027715482
Montana,799065,902200,989415,1084225,1.0958243
Nebraska,1578417,1711230,1826341,1961504,1.074007537
Nevada,1201675,1998250,2700551,3104614,1.149622429
New Hampshire,1109252,1235807,1316470,1377529,1.046380852
New Jersey,7747750,8414764,8791894,9288994,1.056540718
New Mexico,1515069,1819017,2059179,2117522,1.028333137
New York,17990778,18977026,19378102,20201249,1.042478206
North Carolina,6632448,8046346,9535483,10439388,1.094793835
North Dakota,638800,642237,672591,779094,1.158347346
Ohio,10847115,11353336,11536504,11799448,1.022792347
Oklahoma,3145576,3450451,3751351,3959353,1.055447224
Oregon,2842337,3421524,3831074,4237256,1.106023011
Pennsylvania,11882842,12280548,12702379,13002700,1.023642894
Rhode Island,1003464,1048259,1052567,1097379,1.042574012
South Carolina,3486310,4012023,4625364,5118425,1.106599394
South Dakota,696004,754858,814180,886667,1.089030681
Tennessee,4877203,5689427,6346105,6910840,1.08898923
Texas,16986335,20851028,25145561,29145505,1.159071575
Utah,1722850,2233183,2763885,3271616,1.183701927
Vermont,562758,608613,625741,643077,1.027704753
Virginia,6189197,7079057,8001024,8631393,1.07878604
Washington,4866669,5894281,6724540,7705281,1.145845069
West Virginia,1793477,1808193,1852994,1793716,0.96800961
Wisconsin,4891954,5363757,5686986,5893718,1.036351769
Wyoming,453589,493786,563626,576851,1.023464141
Puerto Rico,3522037,3808605,3725789,3285874,0.881927023
